id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/41674971	10.2307/41674971	All in a Day's Work a Feminist Analysis of Class Formation and Social Identity	Celine-Marie Pascale, Celine-Marie Pacale	Race, Gender & Class	8	2	2001-01-01T00:00:00Z	pp. 34-59	Jean Ait Belkhir, Race, Gender & Class Journal	fla		In this paper, I explore the mutual production of racialized, gendered, and classed identities in the United States. After a brief theoretical overview that includes Marxist theories of class, theories of racial inequality, and feminist Marxism, I turn to an historical account of proletarianization in the United States between 1860 and 1920. In concluding, I analyze the division of labor and the development of class consciousness in the United States by taking into account the legal and social restrictions that enforced racialized and gendered conceptions of citizenship.	
10.2307/192118	10.2307/192118	American Political Culture, Prophetic Narration, and Toni Morrison's Beloved	George Shulman	Political Theory	24	2	1996-05-01T00:00:00Z	pp. 295-314	Sage Publications, Inc.	fla			
10.2307/29784455	10.2307/29784455	The O'Neill-Komroff Connection: Thirteen Letters from Eugene O'Neill	Madeline C. Smith, Richard Eaton	The Eugene O'Neill Review	16	2	1992-10-01T00:00:00Z	pp. 12-28	Penn State University Press	fla			
10.2307/20874907	10.2307/20874907	Women, AIDS, and Activism Fighting Invisibility	Gilbert Elbaz	Revue française d'études américaines		96	2003-05-01T00:00:00Z	pp. 102-113	Editions Belin	fla		Cet article traite de la formation identitaire au sein d'un nouveau mouvement social né aux États-Unis dans les années quatre-vingts: l'activisme féminin contre le SIDA. En suivant un itinéraire ethnographique, l'histoire des activistes, leur mobilisation autour de la définition du SIDA et leur dynamique intra-communautaire sont présentées comme autant de sources identitaires. Deux thèses sont défendues: ce mouvement a des retombées matérielles et ses politiques identitaires ne mènent pas à son extinction.	
10.2307/27739689	10.2307/27739689	Henry George's Political Critics	Michael Hudson	American Journal of Economics and Sociology	67	1	2008-01-01T00:00:00Z	pp. 1-46	American Journal of Economics and Sociology, Inc.	fla		Twelve political criticisms of George were paramount after he formed his own political party in 1887: (1) his refusal to join with other reformers to link his proposals with theirs, or to absorb theirs into his own campaign; (2) his singular focus on ground rent to the exclusion of other forms of monopoly income, such as that of the railroads, oil and mining trusts; (3) his almost unconditional support of capital, even against labor; (4) his economic individualism rejecting a strong role for government; (5) his opposition to public ownership or subsidy of basic infrastructure; (6) his refusal to acknowledge interest-bearing debt as the twin form of rentier income alongside ground rent; (7) the scant emphasis he placed on urban land and owner-occupied land; (8) his endorsement of the Democratic Party's free-trade platform; (9) his rejection of an academic platform to elaborate rent theory; (10) the narrowness of his theorizing beyond the land question; (11) the alliance of his followers with the right wing of the political spectrum; and (12) the hope that full taxation of ground rent could be achieved gradually rather than requiring a radical confrontation involving a struggle over control of government.	
10.2307/40243329	10.2307/40243329	Compensation	Brock Clarke	New England Review (1990-)	19	2	1998-04-01T00:00:00Z	pp. 67-71	Middlebury College Publications	fla			
10.2307/40003498	10.2307/40003498	Jane Addams's Peace Activism, 1914-1922: A Model for Women Today	Kathryn Kish Sklar	Women's Studies Quarterly	23	3/4	1995-10-01T00:00:00Z	pp. 32-47	The Feminist Press at the City University of New York	fla			
10.2307/3201586	10.2307/3201586	Elusive Villainy: "The Waterworks" as Doctorow's Poesque Preface	Marshall Bruce Gentry	South Atlantic Review	67	1	2002-01-01T00:00:00Z	pp. 63-90	South Atlantic Modern Language Association	fla			
10.2307/3051547	10.2307/3051547	Composer with a Conscience: Elie Siegmeister in Profile	Carol J. Oja	American Music	6	2	1988-07-01T00:00:00Z	pp. 158-180	University of Illinois Press	fla			
10.2307/645272	10.2307/645272	Feminist Anthropology: The Legacy of Elsie Clews Parsons	Louise Lamphere	American Ethnologist	16	3	1989-08-01T00:00:00Z	pp. 518-533	American Anthropological Association, Wiley	fla			
10.2307/3251550	10.2307/3251550	Working at a Discount: Class Consciousness in Mercè Rodoreda's "La plaça del Diamant"	Michael Ugarte	MLN	114	2	1999-03-01T00:00:00Z	pp. 297-314	The Johns Hopkins University Press	fla			
10.2307/40487376	10.2307/40487376	Oregon's Romantic Rebels: John Reed and Charles Erskine Scott Wood	Edwin R. Bingham	The Pacific Northwest Quarterly	50	3	1959-07-01T00:00:00Z	pp. 77-90	University of Washington	fla			
10.2307/3174337	10.2307/3174337	Women's Theater in France	Jane Moss	Signs	12	3	1987-04-01T00:00:00Z	pp. 548-567	The University of Chicago Press	fla			
10.2307/3814986	10.2307/3814986	Between Reform and Regulation: The Struggle over Film Censorship in Progressive America, 1909-1922	Nancy J. Rosenbloom	Film History	1	4	1987-01-01T00:00:00Z	pp. 307-325	Indiana University Press	fla		The establishment of the Board of Censors of Motion Picture Shows (later known as the National Board of Review) in New York in 1909 is discussed. The paper deals with the Board's relationship to the motion picture industry and its efforts to avoid a formal structure of centralized film censorship. The establishment of official censorship boards in several states and the industry's formation of the MPPDA in 1922 ultimately undercut the National Board's authority by 1922.	
10.2307/20728493	10.2307/20728493	RECOGNIZING TERRORISM	CLAUDIA CARD	The Journal of Ethics	11	1	2007-03-01T00:00:00Z	pp. 1-29	Springer	fla		It has been claimed that most of the world's preventable suffering and death are caused not by terrorism but by poverty. That claim, if true, could be hard to substantiate. For most terrorism is not publicly recognized as such, and it is far commoner than paradigms of the usual suspects suggest. Everday lives under oppressive regimes, in racist environments, and of women, children, and elders everywhere who suffer violence in their homes offer instances of terrorisms that seldom capture public attention. Or so this essay argues, through exploring two models of terrorism and the points of view highlighted by each.	
10.2307/30046542	10.2307/30046542	NEH Seminars: Collaborative Communities for Professional Development	Steven T. Bickmore	The English Journal	95	2	2005-11-01T00:00:00Z	pp. 35-40	National Council of Teachers of English	fla		Over the years, high school teacher Steven T. Bickmore has attended numerous seminars and institutes sponsored by the National Endowment for the Humanities, focusing on such subjects as history, philosophy, comparative literature, and art. He explains their impact on lessons in his English classroom as well as their importance in helping to build community within the profession.	
10.2307/4239172	10.2307/4239172	Personal and Political in "The Dispossessed"	Victor Urbanowicz	Science Fiction Studies	5	2	1978-07-01T00:00:00Z	pp. 110-117	SF-TH Inc	fla			
10.2307/1890079	10.2307/1890079	Justice Oliver Wendell Holmes, Jr., Zechariah Chafee, Jr., and the Clear and Present Danger Test for Free Speech: The First Year, 1919	Fred D. Ragan	The Journal of American History	58	1	1971-06-01T00:00:00Z	pp. 24-45	Organization of American Historians	fla			
10.2307/1500162	10.2307/1500162	Los Angeles' Old Plaza and Olvera Street: Imagined and Contested Space	William D. Estrada	Western Folklore	58	2	1999-01-01T00:00:00Z	pp. 107-129	Western States Folklore Society	fla			
10.2307/446687	10.2307/446687	Toward a New Understanding of Anarchism	William O. Reichert	The Western Political Quarterly	20	4	1967-12-01T00:00:00Z	pp. 856-865	University of Utah, Western Political Science Association	fla			
10.2307/23070753	10.2307/23070753	AT THE CROSSROADS OF IDENTITY: NEVER MARRIED CHINESE AMERICAN WOMEN	SUSAN J. FERGUSON	International Journal of Sociology of the Family	34	2	2008-10-01T00:00:00Z	pp. 235-256	International Journals	fla		Little is known about the lives of the never married. Demographic data show that rates of non-marriage have increased significantly across racial-ethnic groups. Among women, African Americans have the highest rates of non-marriage, followed by Asian Americans, and lastly, by European Americans. This research explores what it means for increasing numbers of Chinese American women to be delaying or rejecting marriage. Given the predominance of traditional gender expectations in Chinese and Chinese American cultures, how do never married Chinese American women understand their marital status? How does being never married affect or modify their Asian American identities?	
10.2307/1511561	10.2307/1511561	Rebellion, Reform, and Revolution: American Graphic Design for Social Change	Victor Margolin	Design Issues	5	1	1988-10-01T00:00:00Z	pp. 59-70	The MIT Press	fla			
10.2307/189564	10.2307/189564	Men's Responses to Feminism at the Turn of the Century	Michael S. Kimmel	Gender and Society	1	3	1987-09-01T00:00:00Z	pp. 261-283	Sage Publications, Inc.	fla		This article examines the variety of men's responses to feminism in late nineteenth-and early twentieth-century United States through texts that addressed the claims raised by the turn-of-the-century women's movements. Antifeminist texts relied on traditional arguments, as well as Social Darwinist and natural law notions, to reassert the patriarchal family and to oppose women's suffrage and participation in the public sphere. Masculinist texts sought to combat the purported feminization of American manhood by proposing islands of masculinity, untainted by feminizing forces; proscribed homosociality was also cast as an effective antidote to homosexuality. Profeminist texts openly embraced women's claims for changes in public participation and private and family life, both out of a sense of justice and the conviction that such changes would benefit men and challenge the emerging industrial capitalist order. Parallels to contemporary men's responses to the women's movement are suggested.	
10.2979/meridians.2010.10.2.96	10.2979/meridians.2010.10.2.96	Writing the Outrageous Life: <i>Blanche Wiesen Cook and Eleanor Roosevelt</i>	Paula J. Giddings	Meridians	10	2	2010-04-01T00:00:00Z	pp. 96-101	Indiana University Press	fla			
10.2307/25735191	10.2307/25735191	Annual Bibliography for 2008	Ben P. Robertson	Keats-Shelley Journal	58		2009-01-01T00:00:00Z	pp. 196-241	Keats-Shelley Association of America, Inc.	fla			
10.2307/27746105	10.2307/27746105	Edith Eaton: Pioneer Chinamerican Writer and Feminist	Amy Ling	American Literary Realism, 1870-1910	16	2	1983-10-01T00:00:00Z	pp. 287-298	University of Illinois Press	fla			
